,GEO.id,GEO.id2,GEO.display-label,Year under Quarantine,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,USPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1,Id,Id2,Geography,qyear,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,United States Postal Service State Abbreviation,American National Standards Institute code,Name,Land Area (square meters)Ê,Water Area (square meters),Land Area (square miles)Ê,Water Area (square miles),"Latitude (decimal degrees) First character is blank or ""-"" denoting North or South latitude respectively","Longitude (decimal degrees) First character is blank or ""-"" denoting East or West longitude respectively"
2,0500000US01001,1001,"Autauga County, Alabama",1953,54571,54571,54750,55199,54927,54695,54864,54838,55278,55504,AL,161526,Autauga County,1539614693,25744269,594.449,9.94,32.532237,-86.64644
3,0500000US01003,1003,"Baldwin County, Alabama",1931,182265,182265,183110,186534,190048,194736,199064,202863,207509,212628,AL,161527,Baldwin County,4117605847,1133109409,1589.817,437.496,30.659218,-87.746067
4,0500000US01005,1005,"Barbour County, Alabama",1958,27457,27457,27332,27351,27175,26947,26749,26264,25774,25270,AL,161528,Barbour County,2292144656,50538698,885.002,19.513,31.870253,-85.405104
5,0500000US01007,1007,"Bibb County, Alabama",1958,22915,22919,22872,22745,22658,22503,22533,22561,22633,22668,AL,161529,Bibb County,1612165763,9603798,622.461,3.708,33.015893,-87.127148
6,0500000US01009,1009,"Blount County, Alabama",1966,57322,57324,57381,57562,57595,57623,57546,57590,57562,58013,AL,161530,Blount County,1670079465,15039864,644.821,5.807,33.977358,-86.56644
7,0500000US01011,1011,"Bullock County, Alabama",1958,10914,10911,10880,10675,10612,10549,10673,10419,10441,10309,AL,161531,Bullock County,1613059168,6054988,622.806,2.338,32.101759,-85.717261
8,0500000US01013,1013,"Butler County, Alabama",1958,20947,20946,20944,20880,20688,20372,20327,20141,19965,19825,AL,161532,Butler County,2011985458,2718248,776.832,1.05,31.751667,-86.681969
9,0500000US01015,1015,"Calhoun County, Alabama",1958,118572,118586,118466,117785,117219,116482,115941,115505,114980,114728,AL,161533,Calhoun County,1569244078,16573120,605.889,6.399,33.771706,-85.822513
10,0500000US01017,1017,"Chambers County, Alabama",1961,34215,34170,34122,34031,34092,34122,33948,33968,33717,33713,AL,161534,Chambers County,1545009122,17048126,596.531,6.582,32.915504,-85.394032
11,0500000US01019,1019,"Cherokee County, Alabama",1975,25989,25988,25973,25993,25958,26014,25897,25741,25766,25857,AL,161535,Cherokee County,1434228753,119702920,553.759,46.218,34.069515,-85.654242
12,0500000US01021,1021,"Chilton County, Alabama",1953,43643,43631,43661,43688,43601,43645,43779,43706,43830,44067,AL,161536,Chilton County,1794478905,20590301,692.852,7.95,32.854051,-86.726607
13,0500000US01023,1023,"Choctaw County, Alabama",1953,13859,13858,13849,13607,13561,13396,13318,13231,13050,12945,AL,161537,Choctaw County,2365869837,19144469,913.467,7.392,31.990954,-88.248889
14,0500000US01025,1025,"Clarke County, Alabama",1939,25833,25833,25765,25582,25152,25118,24865,24708,24350,24083,AL,161538,Clarke County,3207494103,36657891,1238.42,14.154,31.685521,-87.818624
15,0500000US01027,1027,"Clay County, Alabama",1961,13932,13932,13900,13688,13434,13406,13440,13414,13410,13367,AL,161539,Clay County,1564253513,5283523,603.962,2.04,33.2704,-85.863525
16,0500000US01029,1029,"Cleburne County, Alabama",1966,14972,14972,15004,14928,14889,14976,15026,14922,14873,14900,AL,161540,Cleburne County,1450663938,2354898,560.105,0.909,33.671964,-85.516126
17,0500000US01031,1031,"Coffee County, Alabama",1962,49948,49948,50203,50434,51113,50647,50652,50974,51217,51874,AL,161541,Coffee County,1758565927,3907189,678.986,1.509,31.402258,-85.989602
18,0500000US01033,1033,"Colbert County, Alabama",1977,54428,54428,54525,54534,54569,54528,54461,54358,54327,54500,AL,161542,Colbert County,1534875463,80027136,592.619,30.899,34.703112,-87.801457
19,0500000US01035,1035,"Conecuh County, Alabama",1939,13228,13228,13229,13187,13041,12908,12677,12678,12515,12469,AL,161543,Conecuh County,2201948618,6643480,850.177,2.565,31.430926,-86.988722
20,0500000US01037,1037,"Coosa County, Alabama",1961,11539,11758,11782,11484,11347,11253,11034,10923,10809,10754,AL,161544,Coosa County,1685850816,39987274,650.911,15.439,32.931445,-86.243482
21,0500000US01039,1039,"Covington County, Alabama",1966,37765,37765,37811,38017,37803,37811,37755,37550,37386,37092,AL,161545,Covington County,2668871125,34489285,1030.457,13.316,31.243987,-86.448721
22,0500000US01041,1041,"Crenshaw County, Alabama",1958,13906,13900,13875,13898,13916,13847,13852,13851,13907,13871,AL,161546,Crenshaw County,1576952826,5388561,608.865,2.081,31.732826,-86.319222
23,0500000US01043,1043,"Cullman County, Alabama",1969,80406,80410,80466,80411,80275,80674,81041,81721,82322,82755,AL,161547,Cullman County,1903070708,52424813,734.78,20.241,34.131923,-86.869267
24,0500000US01045,1045,"Dale County, Alabama",1958,50251,50247,50392,50107,50287,49759,49409,49344,49228,49226,AL,161548,Dale County,1453311031,4016457,561.127,1.551,31.430654,-85.609476
25,0500000US01047,1047,"Dallas County, Alabama",1953,43820,43820,43863,43256,42795,41981,41559,40939,40081,39215,AL,161549,Dallas County,2534863481,39131006,978.716,15.109,32.33354,-87.114356
26,0500000US01049,1049,"DeKalb County, Alabama",1984,71109,71115,71169,71353,70944,70905,71034,71198,71216,71617,AL,161550,DeKalb County,2012676476,4121538,777.099,1.591,34.460929,-85.803992
27,0500000US01051,1051,"Elmore County, Alabama",1958,79303,79296,79581,80006,80220,80555,80562,80912,81240,81677,AL,161551,Elmore County,1601762124,99965171,618.444,38.597,32.597229,-86.142735
28,0500000US01053,1053,"Escambia County, Alabama",1939,38319,38319,38346,38202,38028,37773,37740,37667,37476,37447,AL,161552,Escambia County,2447822304,20797758,945.11,8.03,31.122287,-87.16841
29,0500000US01055,1055,"Etowah County, Alabama",1958,104430,104427,104457,104354,104257,103865,103374,102942,102726,102755,AL,161553,Etowah County,1386383039,34559412,535.286,13.343,34.047641,-86.034263
30,0500000US01057,1057,"Fayette County, Alabama",1966,17241,17236,17231,17050,16944,16823,16768,16688,16538,16468,AL,161554,Fayette County,1625693280,4330881,627.684,1.672,33.716157,-87.764292
31,0500000US01059,1059,"Franklin County, Alabama",1975,31704,31709,31749,31767,31658,31504,31494,31467,31577,31495,AL,161555,Franklin County,1641839976,32645401,633.918,12.604,34.441989,-87.842814
32,0500000US01061,1061,"Geneva County, Alabama",1958,26790,26788,26783,26760,26928,26684,26598,26639,26516,26421,AL,161556,Geneva County,1487870866,11604964,574.47,4.481,31.092382,-85.821022
33,0500000US01063,1063,"Greene County, Alabama",1958,9045,9045,8997,8907,8852,8752,8587,8510,8488,8330,AL,161557,Greene County,1675782063,33416143,647.023,12.902,32.844497,-87.9642
34,0500000US01065,1065,"Hale County, Alabama",1958,15760,15762,15745,15358,15360,15248,15048,15018,14847,14812,AL,161558,Hale County,1667907107,32423356,643.983,12.519,32.752796,-87.623061
35,0500000US01067,1067,"Henry County, Alabama",1958,17302,17300,17297,17376,17157,17130,17080,17102,17092,17147,AL,161559,Henry County,1454926615,16986823,561.75,6.559,31.516978,-85.239971
36,0500000US01069,1069,"Houston County, Alabama",1958,101547,101555,101790,102468,103362,103625,104148,104249,104173,104346,AL,161560,Houston County,1501807104,4730565,579.851,1.826,31.158183,-85.296411
37,0500000US01071,1071,"Jackson County, Alabama",1988,53227,53226,53184,53212,53054,52923,52541,52207,52049,51909,AL,161561,Jackson County,2791974087,126334708,1077.987,48.778,34.764114,-85.980056
